report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,observation_year,comparison_year,comparison_lag_years,value_numeric,value_reported,null_reason,extraction_version,validation_status
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2025,2021,4,-16.0,-16%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2025,2020,5,-35.0,-35%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2025,2019,6,-43.0,-43%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,2025,,,2,2,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,2024,,,9,9,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,percent_change,2025,2024,1,-78.0,-78%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,2025,,,12,12,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,2024,,,31,31,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,percent_change,2025,2024,1,-61.0,-61%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,2025,,,363,363,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,2024,,,381,381,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2024,1,-5.0,-5%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2023,2,-17.0,-17%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2022,3,-9.0,-9%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2021,4,-22.0,-22%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2020,5,-21.0,-21%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2025,2019,6,-18.0,-18%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,count,2025,,,2,2,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,count,2024,,,4,4,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,percent_change,2025,2024,1,-50.0,-50%,,wilmington-compstat-v1,validated
