report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,observation_year,comparison_year,comparison_lag_years,value_numeric,value_reported,null_reason,extraction_version,validation_status
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2021,5,-9.0,-9%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2020,6,5.0,5%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,count,2026,,,3,3,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,count,2025,,,10,10,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_7_days,percent_change,2026,2025,1,-70.0,-70%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_28_days,count,2026,,,19,19,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_28_days,count,2025,,,37,37,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,last_28_days,percent_change,2026,2025,1,-49.0,-49%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,count,2026,,,216,216,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,count,2025,,,226,226,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2025,1,-4.0,-4%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2024,2,16.0,16%,,wilmington-compstat-v1,validated
